b ,h,b' ,h' ,fc,ALfyL ,Atfyt/s ,Ts 
350,500,300,450,78.5,526.504,313.852,92
350,500,300,450,78.5,831.152,313.852,115.1
350,500,300,450,78.5,1489.8,627.704,196
350,500,300,450,78.5,1925.28,1013.6,239
350,500,300,450,68.4,859.5,348.7244,126.7
350,500,300,450,68.4,859.5,570.15,135.2
350,500,300,450,35.5,524.304,313.852,79.7
350,500,300,450,35.5,831.152,313.852,95.2
350,500,300,450,35.5,831.152,627.704,116.8
350,500,300,450,35.5,1925.28,1013.6,158
350,500,300,450,35.5,859.5,332.8733,111.7
350,500,300,450,35.5,859.5,570.15,125
203,305,165,267,39.6,195.6248,246.3527,19.4
203,305,165,267,64.6,195.6248,263.5247,18.9
203,305,165,267,75,195.6248,246.3527,21.1
203,305,165,267,80.6,195.6248,263.5247,19.4
203,305,165,267,76.2,195.6248,269.9351,18.4
203,305,165,267,72.9,242.2486,289.8251,22.5
203,305,165,267,75.9,283.5546,305.9264,23.7
203,305,165,267,76.7,301.872,393.334,24
160,275,130,245,61.8,944.8668,580.3233,20
160,275,130,245,57.1,947.9546,580.3233,18.5
160,275,130,245,61.7,944.8668,580.3233,19.1
160,275,130,245,77.3,952.5863,574.2147,20.1
160,275,130,245,76.2,952.5863,578.578,21
160,275,130,245,109.8,954.0684,571.5967,24.7
160,275,130,245,105.1,971.1131,571.5967,24.8
254,381,215.9,342.9,27.68,159.3647,159.7389,22.3
254,381,215.9,342.9,28.06,249.555,319.1643,37.5
254,381,215.9,342.9,30.54,284.4089,444.7555,47.3
254,381,215.9,342.9,28.82,379.0645,714.7253,61.7
254,381,215.9,342.9,28.82,243.2533,284.8838,29.8
254,381,215.9,342.9,26.61,169.1742,158.1242,22.4
254,381,215.9,342.9,25.58,204.8955,231.5371,27.7
254,381,215.9,342.9,28.41,260.3525,332.2333,40.2
254,381,215.9,342.9,30.61,293.6011,457.6316,47.9
254,381,215.9,342.9,30.54,250.6066,242.8552,40.6
254,381,215.9,342.9,26.75,286.2491,295.7724,43.8
254,381,215.9,342.9,26.54,323.6366,394.7267,49.6
254,381,215.9,342.9,29.37,727.2408,617.368,60.1
254,381,215.9,342.9,45.23,206.6481,252.3823,36
254,381,215.9,342.9,44.95,280.115,448.1497,58.1
254,381,215.9,342.9,45.02,315.2242,589.871,70.7
254,508,215.9,469.9,29.79,163.5709,129.0483,26.8
254,508,215.9,469.9,30.89,204.8955,197.2124,40.3
254,508,215.9,469.9,26.82,257.9599,266.5013,49.6
254,508,215.9,469.9,28.27,289.3073,379.0802,64.9
254,508,215.9,469.9,30.96,456.4989,279.824,52.7
254,508,215.9,215.9,28.34,552.5348,397.2268,63.3
254,254,215.9,215.9,36.9,102,114,12.5
254,254,215.9,215.9,39.6,102,114,13.1
254,254,215.9,215.9,39.4,282,322,27.8
254,254,229,229,39.2,400,447,34.5
178,356,140.6,324,36.3,102,109,12.3
178,356,140.6,324,39.6,196,203,20.8
178,356,140.3,321,38.6,282,309,25.3
178,356,140.6,321,38.5,400,424,31.8
350,500,300,450,67,651,121,62.2
350,500,300,450,35,706,89,52.9
350,500,300,450,67,421,275,93.7
150,1200,100,1150,44.2,1086,180,74
150,1000,100,950,29.5,903,180,50.7
150,1000,98,948,29.5,903,564,74.3
150,1000,94,944,33.8,1599,799,80.5
150,800,98,748,29.5,649,564,60.1
240,440,190,390,19,155,129,19.5
240,440,190,390,19,309,258,34.3
240,440,190,390,17.6,199,166,21.6
324,324,284,284,19,155,129,21.1
140,806,110,750,19.5,232,129,21.9
240,440,190,390,19,397,331,33.3
240,440,190,390,26.4,397,331,42.1
240,440,190,390,49.8,397,331,48.5
240,440,190,390,19.5,155,258,23.9
240,440,190,390,19.5,232,258,30.4
240,440,190,390,18.5,309,192,31
160,294,110,244,39.1,131,162,13.9
240,440,190,390,36.1,293,243,39.2
254,381,216,343,27.6,159.588,159.198,22.3
254,381,216,343,28.1,325.12,372.1536,37.48
254,381,216,343,30.6,593.6258,677.7636,56.11
254,381,216,343,28.8,728.8824,856.1177,61.64
254,381,216,343,26,323.6976,165.12,26.87
254,381,216,343,28.8,159.7448,362.7248,29.8
254,381,216,343,26.5,159.372,861.72,34.4
254,254,216,216,26.5,209.415,169.338,15.3
254,254,216,216,27.2,581.343,508.2084,29.69
254,254,216,216,27.6,783.2916,644.1201,34.21
254,508,216,470,26.8,271.5804,384.6496,49.56
254,508,216,470,28.3,362.8606,503.874,64.8
254,508,216,470,29.9,196.35,253.84,39.1
254,508,216,470,28.3,405.328,548.5363,73.38
254,381,216,343,45.2,253.025,258.05,36
